Indicator,Value,Reference Range,Result
"Version,""	V100	"","""","""""
"Last test time,""	2025/06/03 16:58:25	"","""","""""
"Test time,""	2025/06/04 11:57:24	"","""","""""
"Device SN,""TAXXXXXXXX	"","""","""""
"Device alias,""	Inv-20KTL-M5(COM2-3)	"","""","""""
"Device type,""	SUN2000-20KTL-M5	"","""","""""
"Rated inverter capacity (kW),""	20	"","""","""""
"Lowest insulation resistance (MOhm),""	3	"","">=0.033"",""Normal"""
"Lowest insulation resistance occurrence time,""	2025/06/03 16:58:28	"","""","""""
"Highest parasitic capacitance (microF),""	NA	"","""","""""
"Highest parasitic capacitance occurrence time,""	NA	"","""","""""
"Lowest parasitic capacitance (microF),""	NA	"","""","""""
"Lowest parasitic capacitance occurrence time,""	NA	"","""","""""
"Highest phase voltage of the grid (V),""	235.8	"",""[184, 276]"",""Normal"""
"Highest grid phase voltage occurrence time,""	2025/06/03 17:05:03	"","""","""""
"Lowest phase voltage of the grid (V),""	206.1	"",""[184, 276]"",""Normal"""
"Lowest grid phase voltage occurrence time,""	2025/06/03 20:44:56	"","""","""""
"Highest grid frequency (Hz),""	50.08	"",""[49.5, 50.5]"",""Normal"""
"Highest grid frequency occurrence time,""	2025/06/03 17:04:35	"","""","""""
"Lowest grid frequency (Hz),""	49.8	"",""[49.5, 50.5]"",""Normal"""
"Lowest grid frequency occurrence time,""	2025/06/04 06:51:35	"","""","""""
"Highest voltage harmonic (%),""	NA	"","""","""""
"Highest voltage harmonic occurrence time,""	NA	"","""","""""
"Highest line voltage of the grid (V),""	406.9	"",""[358.2, 437.8]"",""Normal"""
"Highest grid line voltage occurrence time,""	2025/06/03 17:05:03	"","""","""""
"Lowest line voltage of the grid (V),""	357.9	"",""[358.2, 437.8]"",""Abnormal"""
"Lowest grid line voltage occurrence time,""	2025/06/03 20:44:56	"","""","""""
"Output mode,""	Three-phase, four-wire, with a neutral wire	"","""","""""
"Current grid code,""	RD1699/661	"","""","""""
"Quantity of PV strings,""	4	"","""","""""
"Positive bus capacitance (microF),""	357	"","""","""""
"Negative bus capacitance (microF),""	364	"","""","""""
"Bus capacitor status,""	Healthy	"","""",""Healthy"""
"Total energy yield (kWh),""	7,262.12	"","""","""""
"Fan runtime (hour),""	NA	"","""","""""
